record_id,person_name,entity_type,innovation_or_knowledge,location,source,page,evidence_confidence
S2-P14-01,Ramesh Parmar; Shanti Parmar,Artisans/Innovators,Traditional Bhili dolls and tribal toys; women's employment,"Jhabua, Madhya Pradesh",53rd Shodhyatra Presentation,14,high
S2-P15-01,Subhash Gidwani,Craft promoter/Innovator,Adivasi Gudiya; preservation/development; training women; exhibitions,"Jhabua, Madhya Pradesh",53rd Shodhyatra Presentation,15-16,high
S2-P17-01,Bharti Soni,Artist/Educator,Teaches children to make clay idols; promotes women/art activities,Jhabua region,53rd Shodhyatra Presentation,17,medium
S2-P18-01,Archana Rathwa,Artist/Entrepreneur,Pithora art as an innovative business; rural women empowerment,"Chhota Udepur, Gujarat",53rd Shodhyatra Presentation,18,high
S2-P19-01,Shivkumarji,Artist,Gatha Smriti-Falak / tribal memory pillars,"Alirajpur, Madhya Pradesh",53rd Shodhyatra Presentation,"19,21",high
S2-P22-01,Thawarsingh Bhuriya; Pema Fatiya,Artists,Pithora art; 55-long Pithora artwork mentioned,Chhota Udepur region,53rd Shodhyatra Presentation,22,medium
S2-P24-01,Anu Bhabor,Social/Cultural Contributor,400+ street plays; social themes; state-level sports gold medal,Madhya Pradesh,53rd Shodhyatra Presentation,24,medium
S2-P25-01,Santosh Basod,Craftsperson/Innovator,Bamboo products; standing-use durable broom,"Jhabua, Madhya Pradesh",53rd Shodhyatra Presentation,25,high
S2-P28-01,Ratanbhai Pohliya Rathwa,Folk Artist/Craftsperson,Traditional wooden sculptures; revival of old grain-measuring tools,"Kanwal(a), Chhota Udepur, Gujarat",53rd Shodhyatra Presentation,27-28,high
S2-P33-01,Desing Rathwa,Pithora Artist,Pithora painting; preserving tradition; inspiring youth,Gujarat region,53rd Shodhyatra Presentation,32-33,high
S2-P34-01,Mehul Rathwa,Student/Young Artist,School art exhibition,Gunata village,53rd Shodhyatra Presentation,34,high
S2-P35-01,Bhuri Bai,Bhil Artist,Traditional Pithora art adapted to paper/acrylic,Madhya Pradesh,53rd Shodhyatra Presentation,35,high
S2-P36-01,Leela Ninama; Manju Vasuniya; Lalita Singad,FPC Members,Farmer Producer Company using agricultural waste for value addition,"Bamniya, Jhabua, Madhya Pradesh",53rd Shodhyatra Presentation,36-37,high
S2-P38-01,Sejal Rathwa,Entrepreneur/Innovator,Diaries made from banana fiber; women's employment,Madhya Pradesh/Gujarat region,53rd Shodhyatra Presentation,38-39,high
S2-P40-01,Harish Pawar,Organic Farming Promoter,Organic production; decentralized production; native seed conservation context,Petlawad/Jhabua region,53rd Shodhyatra Presentation,40-42,high
S2-P45-01,Nayak; Bhil; Dhanuk communities,Community/Craft,Traditional clay handi with natural lac coating,"Chhota Udepur, Gujarat",53rd Shodhyatra Presentation,44-45,high
S2-P46-01,Surendrapalsingh Chauhan,Farmer/Innovator,Sunflower variety producing more than two flowers per plant,Madhya Pradesh region,53rd Shodhyatra Presentation,46,high
S2-P47-01,Teresingh Barcha,Farmer/Seed Conservator,Conservation of traditional maize and moong varieties,"Petlawad region, Madhya Pradesh",53rd Shodhyatra Presentation,47,high
S2-P48-01,Isak Mansuri,Farmer,Conservation and promotion of Noorjahan mango variety,"Kathiwada, Alirajpur, Madhya Pradesh",53rd Shodhyatra Presentation,48-49,high
S2-P50-01,Ashok,Farmer/Innovator,Organic/natural farming; indigenous seeds; jeevamrit; vermicompost,Jhabua region,53rd Shodhyatra Presentation,50,high
S2-P51-01,Dulesingh Bhuriya,Farmer,"Natural farming with mulching, drip irrigation and organic methods",Madhya Pradesh region,53rd Shodhyatra Presentation,51,high
S2-P52-01,Chetan Pachaya,Farmer/Innovator,First banana cultivation experiment locally; Gir-cow gaushala; fruit trees,Madhya Pradesh region,53rd Shodhyatra Presentation,52,high
S2-P53-01,Kamalsingh Davar,Farmer/Innovator,Small-space garden and intercropping systems,"Chhoti Pol, Bhavra, Alirajpur",53rd Shodhyatra Presentation,53,high
S2-P54-01,Vishal Parmar,Young Innovator,Welding machine using water and electricity,Kadwal/Kareli Mahudi region,53rd Shodhyatra Presentation,54-55,high
S2-P60-01,Dharamveer,Innovator,Hand-operated Mahua seed-breaking machine; prototype testing and feedback,"Jhabua, Alirajpur, Chhota Udepur/Dahod region",53rd Shodhyatra Presentation,60,high
